corpus,processed_viewers,source_withheld_viewers,pages,eligible_pages,eligible_page_rate,segmented_pages,fragments,fragments_per_eligible_page,unique_exact_units,repeated_exact_units,repeated_unit_rate,cross_viewer_exact_units,cross_viewer_unit_rate,cross_generation_exact_units,cross_generation_unit_rate,viewer_pairs_with_exact_reuse,struct_textual_count,struct_mixed_text_image_count,struct_visual_only_count,struct_front_matter_count,struct_toc_or_navigation_count,struct_bibliography_or_credits_count,struct_unknown_count,struct_textual_rate,struct_mixed_text_image_rate,struct_visual_only_rate,struct_front_matter_rate,struct_toc_or_navigation_rate,struct_bibliography_or_credits_rate,struct_unknown_rate,candidate_activity_candidate_count,candidate_assessment_candidate_count,candidate_experiment_candidate_count,candidate_expository_candidate_count,candidate_instruction_candidate_count,candidate_project_candidate_count,candidate_question_candidate_count,candidate_short_residual_candidate_count,candidate_activity_candidate_share,candidate_assessment_candidate_share,candidate_experiment_candidate_share,candidate_expository_candidate_share,candidate_instruction_candidate_share,candidate_project_candidate_share,candidate_question_candidate_share,candidate_short_residual_candidate_share
W4,14,0,2414,2018,0.835956917978459,2018,21380,10.594648166501486,17735,2503,0.14113335212855935,2454,0.1383704539047082,2431,0.1370735833098393,85,1417,601,179,1,33,34,149,0.5869925434962717,0.24896437448218725,0.07415078707539353,0.00041425020712510354,0.013670256835128418,0.014084507042253521,0.06172328086164043,136,5,69,5450,3145,9,1707,10859,0.006361085126286249,0.00023386342376052386,0.003227315247895229,0.254911131898971,0.14710009354536951,0.00042095416276894293,0.07984097287184284,0.5079045837231057
W7,25,5,3261,2745,0.8417663293468262,2745,33451,12.18615664845173,22651,5449,0.24056333053728313,5313,0.2345591806101276,5115,0.2258178446867688,300,1536,1209,145,4,153,105,109,0.47102115915363385,0.37074517019319225,0.04446488807114382,0.0012266176019625882,0.046918123275068994,0.03219871205151794,0.03342532965348053,903,283,155,5455,5185,141,3870,17459,0.02699470867836537,0.008460135720905204,0.0046336432393650415,0.16307434755313743,0.15500283997488865,0.004215120624196586,0.11569160862156587,0.5219275955875758
